user,time,pattern
1680,M,"(50, 3)"
1680,M,"(8, 5)"
1680,M,"(52, 6)"
1680,M,"(52, 6)"
1680,M,"(48, 4)"
1680,M,"(51, 5)"
1680,M,"(33, 22)"
1680,M,"(57, 13)"
1680,M,"(47, 0)"
1680,M,"(53, 10)"
1680,M,"(43, 30)"
1680,M,"(47, 5)"
1680,M,"(47, 40)"
1680,M,"(51, 3)"
1680,M,"(48, 5)"
1680,M,"(59, 13)"
1680,M,"(55, 10)"
1680,M,"(63, 9)"
1680,M,"(43, 9)"
1680,M,"(55, 0)"
1680,M,"(52, 0)"
1680,M,"(21, 8)"
1680,M,"(34, 1)"
1680,M,"(47, 1)"
1680,M,"(49, 2)"
1680,M,"(46, 15)"
1680,M,"(54, 13)"
1680,M,"(37, 7)"
1680,M,"(44, 2)"
1680,M,"(51, 3)"
1680,M,"(54, 8)"
1680,M,"(46, 2)"
1680,M,"(50, 1)"
1680,M,"(52, 3)"
1680,M,"(26, 18)"
1680,M,"(58, 27)"
1680,M,"(57, 22)"
1680,M,"(58, 5)"
